Device ID, Latitude, Longitude, Installation Type, Connection, Minimum Value in Measurement Range
10075,41.7000000000,87.5000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10076,41.8000000000,88.0000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10222,40.2000000000,75.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.1000000000
10224,40.2000000000,75.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.1000000000
10299,46.6000000000,87.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10300,46.6000000000,87.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10301,44.0000000000,88.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10305,44.3000000000,87.5000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10306,44.8000000000,88.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10309,45.8000000000,88.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10318,44.4000000000,88.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10319,43.7000000000,87.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10320,43.7000000000,87.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10321,43.1000000000,88.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10322,43.3000000000,89.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10397,39.1000000000,78.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10398,41.1000000000,74.2000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.3000000000
10063,33.4000000000,112.5000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.1000000000
10077,42.3000000000,87.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10079,41.5000000000,87.6000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10080,42.0000000000,87.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10083,40.8000000000,88.6000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10107,34.5000000000,118.1000000000,1 - Separate,3 - Neutral of single-phase transformer,0.0100000000
10112,47.7000000000,117.4000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10115,47.6000000000,114.6000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10116,47.9000000000,121.9000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10119,47.5000000000,120.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10120,47.8000000000,122.2000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10121,46.9000000000,119.9000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10257,47.4000000000,101.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10258,47.4000000000,101.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10259,47.4000000000,101.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
